约翰·拉塞特,约翰·拉塞特/彼特·道格特/安德鲁·斯坦顿/乔·兰福特/乔斯·韦登,NenadCvetko/BrankoMenicanin/KresimirMikic/卢卡·佩洛斯/RankoZidaric,冒险/动画/喜剧/家庭/奇幻片,美国,英语,74分钟

J·J·艾布拉姆斯,LawrenceKasdan/J·J·艾布拉姆斯/迈克尔·阿恩特/乔治·卢卡斯,哈里森·福特/马克·哈米尔/凯丽·费雪/亚当·德赖弗/黛西·雷德利,动作片/冒险/科幻,美国,英语,138分钟

斯坦利·库布里克,斯蒂芬·金/斯坦利·库布里克/黛安·约翰逊,杰克·尼科尔森/谢莉·杜瓦尔/DannyLloyd/斯加特曼·克罗索斯/巴瑞·尼尔森,剧情/恐怖,英国,英语,142分钟

史蒂文·斯皮尔伯格,迈克尔·克莱顿/大卫·凯普,山姆·尼尔/劳拉·邓恩/杰夫·高布伦/理查德·阿滕伯勒/鲍勃·佩克,动作片/冒险/科幻/惊悚片,美国,英语,127分钟

大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克/泰勒·派瑞/凯莉·库恩,剧情/悬疑/惊悚片,美国,英语,149分钟

格斯·范·桑特,马特·达蒙/本·阿弗莱克,马特·达蒙/本·阿弗莱克/斯特兰·斯卡斯加德/约翰·迈顿/RachelMajorowski,剧情/爱情,美国,英语,126分钟

朗·霍华德,阿齐瓦·高斯曼/西尔维娅·纳萨尔,罗素·克劳/艾德·哈里斯/詹妮弗·康纳利/克里斯托弗·普卢默/保罗·贝坦尼,传记/剧情,美国,英语,135分钟

伊桑·科恩/乔尔·科恩,乔尔·科恩/伊桑·科恩/考麦克·麦卡锡,TommyLeeJones/哈维尔·巴登/乔什·布洛林/伍迪·哈里森/凯莉·麦克唐纳,犯罪/剧情/惊悚片,美国,英语,122分钟

彼特·道格特/大卫·斯沃曼/李·昂克里奇,彼特·道格特/吉尔·卡尔顿/杰夫·皮金/拉夫·埃格尔斯顿/安德鲁·斯坦顿,StojanMatavulj/BrankoMenicanin,冒险/动画/喜剧/家庭/奇幻片,美国,英语,92分钟

丹尼·博伊尔/洛芙琳·坦丹,西蒙·博福伊/维卡斯·史瓦卢普,戴夫·帕特尔/沙鲁巴·舒克拉/亚尼·卡普/拉詹德拉纳斯·祖特施/吉尼瓦·塔瓦尔,剧情/爱情,英国,英语,120分钟

詹姆斯·卡梅隆,詹姆斯·卡梅隆/盖尔·安妮/WilliamWisher,阿诺·施瓦辛格/迈克尔·比恩/琳达·汉密尔顿/保罗·温菲尔德/LanceHenriksen,动作片/科幻,英国,英语,107分钟

雷尼·哈林,杰·朗吉诺/本大卫·格拉宾斯基/Wen-ChiaChang,成龙/约翰尼·诺克斯维尔/范冰冰/曾志伟/伊芙·托雷斯,动作片/冒险/犯罪/喜剧/惊悚片,中国大陆,普通话,107分钟

史蒂文·斯皮尔伯格,杰夫·内桑森/弗兰克·阿巴内尔/StanRedding,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/纳塔莉·贝伊,传记/犯罪/剧情,美国,英语,141分钟

彼得·博格,利·卡彭特/格雷厄姆·罗兰,马克·沃尔伯格/劳伦·科汉/伊科·乌艾斯/约翰·马尔科维奇/龙达·鲁西,动作片/惊悚片,中国大陆,菲律宾语,94分钟

约翰·麦克蒂尔南,罗德里戈·索普/杰布·斯图尔特/斯蒂芬,布鲁斯·威利斯/邦妮·比蒂丽娅/ReginaldVelJohnson/保罗·格里森/De'voreauxWhite,动作片/惊悚片,美国,英语,132分钟

托德·菲利普斯,托德·菲利普斯/斯科特·西尔弗/鲍勃·凯恩/比尔·芬格/杰瑞·罗宾逊,华金·菲尼克斯/罗伯特·德尼罗/莎姬·贝兹/弗兰西丝·康罗伊/布莱特·卡伦,犯罪/剧情/惊悚片,美国,英语,122分钟

盖·里奇,盖·里奇,本尼西奥·德尔/丹尼斯·法里纳/维尼·琼斯/拉德·舍博德兹加/杰森·斯坦森,犯罪/喜剧,英国,英语,102分钟

特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙,动作片/冒险/科幻,中国大陆,英语,114分钟

雷德利·斯科特,丹·欧班农/罗纳德·舒塞特,汤姆·斯凯里特/西格妮·韦弗/维罗尼卡·卡维特/哈利·戴恩/约翰·赫特,恐怖/科幻,英国,英语,116分钟

彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/吉尔莫·德尔/J.R.R.Tolkien,伊恩·麦克莱恩/马丁·弗瑞曼/理查德·阿米蒂奇/肯·斯托特/格拉汉姆·麦克泰维什,冒险/家庭/奇幻片,新西兰,英语,182分钟

弗兰克·米勒/罗伯特·罗德里格兹/昆汀·塔伦蒂诺,弗兰克·米勒,杰西卡·阿尔芭/戴文青木/阿丽克西斯·布莱德尔/鲍沃斯·布斯/CaraD.Briggs,犯罪/惊悚片,美国,英语,147分钟

达伦·阿伦诺夫斯基,小胡伯特·塞尔比/达伦·阿伦诺夫斯基,艾伦·伯斯汀/杰瑞德·莱托/詹妮弗·康纳利/马龙·韦恩斯/ChristopherMcDonald,剧情,美国,英语,102分钟

雷德利·斯科特,德鲁·高达/安迪·威尔,马特·达蒙/杰西卡·查斯坦/克里斯汀·韦格/杰夫·丹尼尔斯/MichaelPeña,冒险/剧情/科幻,英国,英语,151分钟

李·昂克里奇,约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇/迈克尔·阿恩特,,冒险/动画/喜剧/家庭/奇幻片,美国,英语,103分钟

斯坦利·库布里克,斯坦利·库布里克/安东尼·伯吉斯,马尔科姆·麦克道威尔/帕特里克·马基/迈克尔·贝茨/沃伦·克拉克/约翰·克莱夫,犯罪/剧情/科幻,英国,英语,136分钟

凯文·门罗,凯文·门罗/彼得·拉尔德/凯文·伊斯特曼,,动作片/冒险/动画/喜剧/家庭/奇幻片/科幻,中国香港,英语,103分钟

理查德·凯利,理查德·凯利,杰克·吉伦哈尔/HolmesOsborne/玛吉·吉伦哈尔/黛维·切斯/玛丽·麦克唐纳,剧情/科幻/惊悚片,美国,英语,134分钟

肯尼思·布拉纳,阿什利·米勒/扎克·施坦茨/唐·佩恩/J.MichaelStraczynski/马克·波托塞维奇,克里斯·海姆斯沃斯/娜塔莉·波特曼/汤姆·希德勒斯顿/安东尼·霍普金斯/斯特兰·斯卡斯加德,动作片/冒险/奇幻片,美国,英语,115分钟

罗森·马歇尔,罗森·马歇尔,道恩·强森/内芙·坎贝尔/黄经汉/罗兰·默勒/诺亚·泰勒,动作片/冒险/惊悚片,中国香港,英语,102分钟

扎克·施奈德,扎克·施奈德/库尔特·约恩斯塔德/迈克尔·高顿/弗兰克·米勒/LynnVarley,杰拉德·巴特勒/琳娜·海蒂/多米尼克·韦斯特/大卫·文翰/文森特·里根,动作片/剧情,美国,英语,117分钟

乔·庄斯顿,克里斯托弗·马库斯/斯蒂芬·麦克菲利/乔·西蒙/杰克·科比,克里斯·埃文斯/海莉·阿特维尔/塞巴斯蒂安·斯坦/TommyLeeJones/雨果·维文,动作片/冒险/科幻,美国,英语,124分钟

布莱恩·德,奥利佛·斯通/霍华德·霍克斯/本·赫克特/ArmitageTrail,阿尔·帕西诺/斯蒂文·鲍尔/米歇尔·菲佛/玛丽·伊丽莎白/罗伯特·劳吉亚,犯罪/剧情,美国,英语,142分钟

乔治·卢卡斯,乔治·卢卡斯,连姆·尼森/伊万·麦克格雷格/娜塔莉·波特曼/杰克·洛伊德/伊恩·麦克迪阿梅德,动作片/冒险/奇幻片/科幻,美国,英语,136分钟

乔尔·科恩/伊桑·科恩,伊桑·科恩/乔尔·科恩,杰夫·布里吉斯/约翰·古德曼/朱丽安·摩尔/史蒂夫·布西密/DavidHuddleston,犯罪/喜剧/体育,美国,英语,117分钟

罗曼·波兰斯基,罗纳德·哈伍德/WladyslawSzpilman,艾德里安·布洛迪/艾米莉娅·福克斯/米哈乌·热布罗夫斯基/埃德·斯托帕德/MaureenLipman,传记/剧情/音乐剧/战争,英国,英语,150分钟

乔治·卢卡斯,乔治·卢卡斯,伊万·麦克格雷格/娜塔莉·波特曼/海登·克里斯滕森/伊恩·麦克迪阿梅德/塞缪尔·杰克逊,动作片/冒险/奇幻片/科幻,美国,英语,140分钟

Jean-PierreJeunet,纪尧姆·洛朗/Jean-PierreJeunet,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔日·梅兰,喜剧/爱情,法国,法语,122分钟

F.GaryGray,马特·霍洛维/阿特·马库姆/劳威尔·坎宁安,克里斯·海姆斯沃斯/泰莎·汤普森/丽贝卡·弗格森/拉菲·斯波/艾玛·汤普森,动作片/冒险/喜剧/科幻,中国大陆,英语,114分钟

马丁·斯科塞斯,保罗·施拉德,DiahnneAbbott/RobinsonFrankAdu/维克多·阿尔果/GinoArdito/GarthAvery,犯罪/剧情,美国,英语,110分钟

亚历山德罗·卡罗尼/吕寅荣,乔纳森·阿贝尔/格伦·伯杰/伊森·瑞弗/塞卢斯·沃瑞斯,KresimirMikic,动作片/冒险/动画/喜剧/家庭/奇幻片,中国大陆,英语,95分钟

韦斯·安德森,斯蒂芬·茨威格/韦斯·安德森/雨果·吉尼斯,拉尔夫·费因斯/F.MurrayAbraham/马修·阿马立克/艾德里安·布洛迪/威廉·达福,冒险/犯罪/喜剧,德国,英语,99分钟

达伦·阿伦诺夫斯基,马克·海曼/安德雷斯·海因斯/约翰,娜塔莉·波特曼/米拉·库尼斯/文森特·卡索/芭芭拉·赫希/薇诺娜·瑞德,剧情/惊悚片,美国,英语,108分钟

邓肯·琼斯,查尔斯·里维特/邓肯·琼斯,崔维斯·费米尔/宝拉·巴顿/本·福斯特/多米尼克·库珀/托比·凯贝尔,动作片/冒险/奇幻片,中国大陆,英语,123分钟

费尔南多·梅里尔斯/卡迪亚·兰德,保罗·林斯/布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯/LeandroFirmino/菲利佩·哈根森/道格拉斯·席尔瓦/乔纳森·哈根森,犯罪/剧情,巴西,葡萄牙语,135分钟

达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒/J·K·西蒙斯/保罗·雷瑟/梅莉莎·班诺伊/奥斯汀·斯托维尔,剧情/音乐剧,美国,英语,106分钟

扎克·施奈德,大卫/克里斯托弗·诺兰/杰里·西格尔/乔·舒斯特,亨利·卡维尔/艾米·亚当斯/迈克尔·珊农/戴安·琳恩/罗素·克劳,动作片/冒险/科幻,美国,英语,143分钟

山姆·雷米,斯坦·李/史蒂夫·迪特寇/大卫·凯普,托比·马奎尔/威廉·达福/克斯汀·邓斯特/詹姆斯·弗兰科/克里夫·罗伯逊,动作片/冒险/科幻,美国,英语,121分钟

彼得·博格,彼得·博格/马特·库克/约书亚·祖特曼/保罗·塔马西/埃瑞克·约翰逊,马克·沃尔伯格/DickyEklundJr./MichaelMarchand/RhetKidd/约翰·古德曼,动作片/犯罪/剧情/历史/惊悚片,中国香港,英语,133分钟

史蒂文·斯皮尔伯格,杰弗里·鲍姆/乔治·卢卡斯/门诺·迈依杰斯/菲利普·考夫曼,哈里森·福特/肖恩·康纳利/丹霍姆·艾略特/艾莉森·杜迪/约翰·瑞斯,动作片/冒险,美国,英语,127分钟

盖尔·曼库索,W.BruceCameron/凯瑟琳·迈克/玛雅·福布斯/华莱士·沃洛达斯基,丹尼斯·奎德/凯瑟琳·普雷斯科特/玛格·海根柏格/贝蒂·吉尔平/刘宪华,喜剧/剧情/家庭/奇幻片,中国大陆,英语,

亚利桑德罗·冈萨雷斯,马克/亚利桑德罗·冈萨雷斯/迈克尔·庞克,莱昂纳多·迪卡普里奥/汤姆·哈迪/多姆纳尔·格里森/威尔·保尔特/福勒斯特·古德勒克,动作片/冒险/传记/剧情/历史/西部,美国,英语,156分钟

雷德利·斯科特,汉普顿·范彻/大卫·韦伯/菲利普,哈里森·福特/鲁特格尔·哈尔/肖恩·杨/爱德华·詹姆斯/M.EmmetWalsh,动作片/科幻/惊悚片,美国,英语,110分钟

弗朗西斯·劳伦斯,马克·波托塞维奇/阿齐瓦·高斯曼/理查德·麦瑟森/约翰·威廉/乔伊斯·胡珀,威尔·史密斯/艾莉丝·布拉加/查理·塔汉/莎莉·理查德森/薇洛·史密斯,冒险/剧情/科幻/惊悚片,美国,英语,104分钟

莫滕·泰杜姆,格拉汉姆·摩尔/安德鲁·霍奇斯,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/RoryKinnear/艾伦·里奇,传记/剧情/惊悚片/战争/同性,英国,英语,114分钟

赛尔乔·莱昂内,卢恰诺·温琴佐尼/赛尔乔·莱昂内/阿杰诺雷·因克罗奇/富里奥·斯卡佩利,埃里·瓦拉赫/克林特·伊斯特伍德/李·范/AldoGiuffrè/路易吉·皮斯蒂利,西部,意大利,意大利语,142分钟

昆汀·塔伦蒂诺,昆汀·塔伦蒂诺/乌玛·瑟曼,薇薇卡·福克斯/AmbrosiaKelley/迈克尔·帕克斯/詹姆士·帕克斯/JonathanLoughran,动作片/犯罪/惊悚片,美国,英语,137分钟

F.GaryGray,盖瑞·斯科特/克里斯·摩根,范·迪塞尔/杰森·斯坦森/道恩·强森/米歇尔·罗德里格兹/泰瑞斯·吉布森,动作片/冒险/犯罪/惊悚片,中国大陆,英语,148分钟

布莱恩·辛格,西蒙·金伯格/简·古德曼/马修·沃恩/杰克·科比/斯坦·李,休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/哈莉·贝瑞,动作片/冒险/科幻/惊悚片,美国,英语,151分钟

西德尼·吕美特,雷金纳德·罗斯,马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.Marshall/杰克·克卢格曼,剧情,美国,英语,96分钟

斯坦利·库布里克,斯坦利·库布里克/迈克尔·海尔/古斯塔夫·哈斯福德,马修·莫迪恩/亚当·鲍德温/文森特·多诺费奥/R.LeeErmey/DorianHarewood,剧情/战争,英国,英语,116分钟

迪恩·德布洛斯/克里斯·桑德斯,威廉姆·戴维斯/迪恩·德布洛斯/克里斯·桑德斯/葛蕾熙达·柯维尔/马克·海曼,,动作片/冒险/动画/家庭/奇幻片,美国,英语,98分钟

戈尔·维宾斯基,泰德·艾略特/特里·鲁西奥/斯图尔特·贝亚蒂耶/杰·沃尔伯特,约翰尼·德普/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/比尔·奈伊,动作片/冒险/奇幻片,美国,英语,151分钟

